,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice
,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median
Copper,1,9665000448.0,9665000448.0,1,21176000512.0,21176000512.0,1,0.58,0.58,1,0.35237998,0.35237998,1,2.062337,2.062337,1,41.99,41.99
Credit Services,31,12824111815.225807,5188477952.0,31,6684741850.32258,1594400000.0,31,1.0650645161290324,0.159,31,0.36689871149032266,0.35176,29,1.3843197931034485,1.3412979999999999,31,102.24380967741935,48.55
Department Stores,4,4965976720.0,5656499968.0,4,14688535936.0,15927000064.0,4,0.6222500000000001,0.61,4,0.055575000000000006,0.062405,4,1.88948675,2.155704,4,87.397525,37.685
Diagnostics & Research,45,2288627439.3777776,250479008.0,45,3492030192.177778,564835968.0,45,0.46559999999999996,0.258,45,-0.43549822533333327,0.061350003,40,1.1734189000000002,1.0449805,45,157.09513555555552,44.95
Discount Stores,9,12580330346.666666,9676800000.0,9,107335399765.33333,25767800832.0,9,0.03644444444444445,0.043,9,0.07117000022222222,0.056729999999999996,9,0.9335743333333334,0.807792,9,168.6238888888889,136.53
Drug Manufacturers,38,9894286090.0,450086496.0,37,12375218714.378378,556353024.0,37,0.7173243243243244,0.11199999999999999,38,-0.38328474240789473,0.15095999999999998,36,1.0036299722222222,0.9418175,38,59.02127894736843,29.54
Education & Training Services,12,585636834.0,464896496.0,12,1061768506.6666666,984187008.0,12,0.19824999999999995,0.14300000000000002,12,0.07335583175,0.092439997,11,0.8910762727272726,0.8794799999999999,12,77.66125833333332,27.130000000000003
Electrical Equipment & Parts,19,886361677.8947369,729881024.0,19,1764033767.5789473,1291806976.0,18,0.3194444444444444,0.1685,19,-4.875102266052632,0.11457,16,1.88822,1.487627,19,65.55789473684212,38.61
Electronic Components,16,1217399922.75,274090496.0,16,4553559198.5,1374146496.0,16,0.240375,0.179,16,-0.07572250075,0.078314999,15,1.2634938666666666,1.192685,16,80.81874999999998,44.05
Electronic Gaming & Multimedia,6,1288835354.6666667,862299504.0,6,3713168085.3333335,3046432000.0,6,0.31516666666666665,0.262,6,0.07607166566666668,0.184500005,5,0.680519,0.607272,6,70.12483333333334,48.32
Electronics & Computer Distribution,4,988192496.0,837495472.0,4,13702912000.0,10809225728.0,4,0.1725,0.22749999999999998,4,0.02446499975,0.024535,4,1.3562094999999998,1.5475535,4,62.5375,42.285
Engineering & Construction,24,952959128.6666666,670068512.0,24,4658796253.333333,3110141440.0,24,0.06925,0.0655,24,0.05825374916666667,0.057179999999999995,24,1.2449498749999999,1.256363,24,77.38965416666663,63.47
Entertainment,20,18170590995.5,5442723968.0,20,16810992171.95,1220278016.0,20,3.13115,0.188,20,-0.6960710101,0.053144999,18,1.4354404444444442,1.381521,20,117.19618999999997,33.36945
Farm & Heavy Construction Machinery,18,5678740939.111111,443292000.0,18,8368266324.888889,1465108992.0,18,0.5800000000000001,0.2185,18,0.033652222022222227,0.07235,17,1.345216882352941,1.328056,18,83.55517222222221,46.65
Farm Products,8,3695419226.0,171006000.0,8,21803354881.0,1139804480.0,7,0.24100000000000002,0.21100000000000002,8,-1.7270200002500002,0.0251000005,5,0.6323534000000001,0.777142,8,41.365624999999994,26.950000000000003
Financial Conglomerates,3,10049963861.333334,4108999936.0,3,4736594346.666667,4007000064.0,2,0.42499999999999993,0.42499999999999993,3,0.38767666333333334,0.40055,3,1.4222020000000002,1.45163,3,62.95333333333334,67.905
Financial Data & Stock Exchanges,8,5448260056.0,4610155008.0,8,4585163504.0,5256499968.0,8,0.1265,0.128,8,0.41935500000000003,0.482759985,8,0.885713875,0.8870125,8,360.525,369.45500000000004
Food Distribution,7,4422655890.285714,3666121984.0,7,20970554093.714287,22840999936.0,7,0.22057142857142858,-0.006999999999999999,7,0.0071028571428571425,0.00852,7,1.4178957142857143,1.42383,7,43.32698571428572,38.37
Footwear & Accessories,9,2289616913.7777777,855534976.0,9,8031255587.555555,2669282048.0,9,0.5542222222222222,0.29100000000000004,9,0.13399444444444444,0.10740999999999999,9,1.414887888888889,1.353645,9,95.39777777777778,42.26
"Furnishings, Fixtures & Appliances",14,1346668997.7142856,654952992.0,14,4227091460.571429,1858791488.0,14,0.2926428571428571,0.194,14,0.09754785628571427,0.08953999700000001,13,1.6385428461538458,1.632727,14,64.64524999999999,43.167500000000004
Gambling,8,1782136838.0,755264992.0,8,855710997.0,478125008.0,8,1.225375,0.745,8,-0.13137375,0.017549999999999996,4,2.12282725,2.0735194999999997,8,50.78125,19.3075
Gold,4,1812006804.0,489436512.0,4,3695854384.0,843152512.0,4,0.26275,0.34450000000000003,4,0.278265,0.25067999,4,1.2109585,1.2254175,4,43.475625,32.395
Grocery Stores,9,4927690144.0,1489633024.0,9,26247338026.666668,5590730240.0,9,0.22844444444444445,0.039,9,0.03878111066666667,0.03605,6,0.3048405,0.3356445,9,55.711688888888894,30.261
Health Information Services,30,547475753.5,275848496.0,30,1032568562.0,518630496.0,30,0.29256666666666664,0.2845,30,-0.07912366183333336,0.025540001,22,0.9462119090909092,0.8345925000000001,30,49.343316666666674,27.7325
Healthcare Plans,12,18965514253.333332,8712015104.0,12,91734570304.0,52401501184.0,12,0.32408333333333333,0.10700000000000001,12,0.03209750216666666,0.042905,9,0.8461215555555555,0.8425969999999999,12,193.21124999999995,98.755
Home Improvement Retail,7,11275312075.428572,968472000.0,7,35673223492.57143,1316935040.0,7,0.4947142857142857,0.243,7,0.12000999999999999,0.11417999999999999,6,1.8410985000000002,1.646213,7,124.97357142857143,31.05
Household & Personal Products,17,4713411552.941176,1972499968.0,17,10113882136.470589,4628100096.0,17,0.42182352941176465,0.18600000000000003,17,0.13531882376470583,0.12662,14,1.0295455000000002,0.9275755000000001,17,104.52864705882354,99.08
Industrial Distribution,12,1094255189.3333333,628300032.0,12,4878603869.333333,3160512512.0,12,0.17691666666666664,0.139,12,0.08369833333333336,0.077365,11,1.3820050000000004,1.21834,12,136.4590916666667,88.91
Information Technology Services,42,4013136338.285714,829527488.0,42,7078236446.857142,2074126976.0,42,0.20850000000000005,0.1625,42,0.015280475833333333,0.075725,32,1.2170905937499998,1.1153245,42,96.26851190476194,46.21
Infrastructure Operations,1,782600000.0,782600000.0,1,1973500032.0,1973500032.0,1,0.141,0.141,1,0.06491,0.06491,1,0.377365,0.377365,1,52.26,52.26
Insurance,66,5061233661.454545,1593467968.0,66,10015381226.90909,4125514496.0,63,0.25969841269841265,0.11199999999999999,66,0.12644727234848485,0.14747,62,0.9616301774193549,0.915324,66,103.8292439393939,65.365
Integrated Freight & Logistics,11,6949628402.181818,1494041984.0,11,23336140234.18182,11408983040.0,11,0.7112727272727273,0.263,11,0.057926364090909094,0.08015,11,1.066575636363636,0.9948049999999999,11,130.27227272727274,116.94
Internet Content & Information,19,3162121317.0526314,321000000.0,19,20105043717.05263,1086999040.0,19,0.5474736842105262,0.371,19,0.058030525447368426,0.03687,14,1.4526227857142857,1.2874180000000002,19,238.56180526315788,63.63
Internet Retail,11,14898736928.727272,2321807872.0,11,46846631841.454544,2869320960.0,11,0.5405454545454546,0.225,11,0.06027363591818183,0.061779999999999995,11,2.0466860909090907,1.868298,11,391.96533636363637,62.5
Leisure,19,1399919905.2631578,592928000.0,19,2165195732.2105265,1288696960.0,19,2.013894736842105,0.402,19,0.11613263078947371,0.13626,16,1.4833196875000003,1.3605745,19,74.68894736842105,41.3015
Lodging,5,5540284748.8,3643000064.0,5,1320291020.8,1151000064.0,5,1.8668000000000002,0.8340000000000001,5,0.08181000199999997,0.29067,5,1.548838,1.5201959999999999,5,130.104,151.85
Lumber & Wood Production,2,622557504.0,622557504.0,2,7365750528.0,7365750528.0,2,1.07,1.07,2,0.0982000025,0.0982000025,2,1.7456275,1.7456275,2,78.36500000000001,78.36500000000001
Luxury Goods,4,1116683214.0,473474992.0,4,2137540248.0,1197231040.0,4,0.8347500000000001,0.7755000000000001,4,-0.031225005,0.08782999999999999,4,1.8319445,1.6992059999999998,4,25.91985,26.124699999999997
Marine Shipping,5,786904057.6,544083008.0,5,1257053084.8,355560000.0,5,-0.01200000000000001,-0.122,5,0.0701499966,0.048449997,5,1.0263256,0.9345450000000001,5,43.136,41.93
Medical Care Facilities,34,3103721006.0588236,586892480.0,34,4794521518.117647,1713154496.0,34,0.2012941176470588,0.11649999999999999,34,0.07879911617647059,0.09392500000000001,28,1.3146108214285712,1.243697,34,77.34415882352943,56.5725
Medical Devices,63,1007937492.0793651,50710000.0,62,1814164542.516129,203288496.0,62,0.4768387096774194,0.306,63,-0.36202095180158717,-0.0153,54,1.0657996111111114,1.061558,63,91.33089841269842,34.0
Medical Distribution,7,3935582646.857143,1580107008.0,7,92681045412.57143,12236224512.0,7,0.152,0.14400000000000002,7,0.07129999992857143,0.035039999999999995,7,0.802295,0.776103,7,89.91714285714286,62.22
Medical Instruments & Supplies,30,1333526609.0666666,187884504.0,30,2330975357.6,705959504.0,30,0.3568333333333332,0.1885,30,0.10075833493333336,0.13596999999999998,28,0.9520563928571429,0.9733125,30,151.16875,74.08250000000001
Metal Fabrication,8,632242019.0,580469504.0,8,1945827776.0,2052286016.0,8,0.28450000000000003,0.266,8,0.04637874975,0.062275,8,1.5637365,1.644463,8,39.1639625,39.7775
Mortgage Finance,7,10206956397.714285,12236428288.0,7,5048443776.0,3684000000.0,7,0.31942857142857145,0.004,7,0.41939571144285714,0.44979998,5,1.4266068,1.5049350000000001,7,67.23714285714286,60.54
Oil & Gas Drilling,2,711752000.0,711752000.0,2,1001139488.0,1001139488.0,2,-0.20650000000000002,-0.20650000000000002,2,-0.44282,-0.44282,2,2.7010984999999996,2.7010984999999996,2,16.927500000000002,16.927500000000002
Oil & Gas E&P,39,4083772445.5384617,2086679040.0,39,4198310137.025641,1647654016.0,39,1.5237435897435891,1.419,39,-0.3158546176487179,-0.08297,33,17.7308863030303,2.663586,39,70.89707948717948,26.255
Oil & Gas Equipment & Services,25,1948981793.28,423967008.0,25,3270972473.28,878520000.0,25,0.40224000000000004,0.081,25,-0.025111198999999997,-0.01594,23,2.501472391304348,2.522077,25,14.746208000000001,10.13
Oil & Gas Integrated,3,32193286656.0,37347000320.0,3,126187217962.66667,134587998208.0,3,0.524,0.578,3,0.16851332666666666,0.09712,3,1.1208543333333334,1.2732459999999999,3,81.14999999999999,63.2
Oil & Gas Midstream,9,13794107022.222221,7221669888.0,9,7171169635.555555,8920000512.0,9,0.567888888888889,0.282,9,0.3240322314444445,0.30045,8,1.9428322500000001,1.7303920000000002,9,37.22516666666667,25.884
Oil & Gas Refining & Marketing,14,5617459377.142858,1842000000.0,14,23784792509.714287,7388399872.0,14,1.0275714285714288,0.8865000000000001,14,-0.025780712607142858,-0.01356499975,14,1.6393768571428569,1.797812,14,37.48445714285714,29.71
Other Industrial Metals & Mining,3,671858344.0,731356032.0,3,1015277984.0,1352244992.0,3,0.637,0.36700000000000005,3,0.18918,0.10384000000000002,2,1.5353430000000001,1.5353430000000001,3,61.23666666666666,51.74
Other Precious Metals & Mining,1,12583000.0,12583000.0,0,,,0,,,1,0.0,0.0,0,,,1,10.85,10.85
Packaged Foods,34,3176723113.4117646,1298851008.0,34,5101142403.764706,3512063104.0,34,0.16508823529411765,0.125,34,0.0953582353529412,0.10324500249999999,32,0.6671929062499999,0.6567354999999999,34,61.49216470588237,44.975049999999996
Packaging & Containers,19,4172655875.7894735,3422700032.0,19,7022929143.578947,5301859840.0,19,0.15673684210526317,0.146,19,0.09993631594736843,0.10564999,17,1.181735294117647,1.1016299999999999,19,54.44894736842105,45.7766
Paper & Paper Products,5,597409209.6,515246016.0,5,1220723622.4,1224700032.0,5,0.2892,0.198,6,0.05078500016666667,0.05061499999999999,5,1.4627123999999998,1.452467,6,30.40166666666667,28.545
Personal Services,9,1310197656.0,1016000000.0,9,1971628871.1111112,1586000000.0,9,0.23366666666666663,0.153,9,0.17010888555555553,0.15754,9,0.9217793333333333,0.850793,9,67.94452222222222,44.555
Pharmaceutical Retailers,3,16023113045.333334,6327339008.0,3,55658723904.0,24176848896.0,3,-0.036000000000000004,0.022000000000000002,3,0.04724333333333334,0.018080000000000002,3,0.6056689999999999,0.537117,3,30.40166666666667,26.62
Pollution & Treatment Controls,4,378143748.0,275288000.0,3,895099674.6666666,1188099968.0,3,-0.005666666666666671,-0.013999999999999999,4,0.0864375,0.10481,3,1.3861066666666666,1.217142,4,29.7606,31.64
Publishing,4,471134990.0,103577500.0,4,1627516510.0,1612847488.0,4,0.09899999999999998,0.16899999999999998,4,0.075095,0.07588,4,1.3165627500000001,0.8689955,4,110.83875,43.67
REIT,180,4916062350.266666,2522882560.0,180,993094761.6888889,522932496.0,177,0.5538644067796608,0.11199999999999999,181,0.2721797239906077,0.27974,173,1.130489069364162,1.085194,181,57.77706961325966,25.24
Railroads,6,12212698901.333334,9827100160.0,6,9146979776.0,9159699712.0,6,-0.0365,0.04,6,0.2540716631666667,0.275445,6,1.3853586666666666,1.3656485,6,124.15166666666669,67.685
Real Estate Services,15,2005724323.2,1103122944.0,15,3959237094.4,1221067008.0,15,0.8134666666666666,0.341,15,0.10238400065333332,0.08369,14,1.4794202857142855,1.3501295,15,63.849000000000004,40.7
Real Estate—Development,1,711800000.0,711800000.0,1,1325799936.0,1325799936.0,1,0.205,0.205,1,0.12129000000000001,0.12129000000000001,1,1.9179220000000001,1.9179220000000001,1,21.46,21.46
Real Estate—Diversified,2,2459520416.0,2459520416.0,2,495311488.0,495311488.0,2,0.681,0.681,2,0.15978,0.15978,2,1.3040385,1.3040385,2,74.1575,74.1575
Recreational Vehicles,11,1306392091.3636363,549841024.0,11,3626990308.7272725,3331560960.0,11,0.5608181818181818,0.442,11,-0.6416090913636363,0.10929000000000001,10,1.9652472999999997,1.9457155,11,78.30394545454546,71.19
Rental & Leasing Services,13,4298348858.461538,1999200000.0,14,3337316576.0,1874153472.0,14,0.5765,0.144,14,0.1787164282157143,0.186914995,12,1.6288964166666668,1.826802,14,138.73857142857145,64.22
Residential Construction,18,1988087151.1111112,1506289024.0,18,7012399744.0,4505616384.0,18,0.29577777777777775,0.2605,18,0.13504277833333334,0.14336,18,1.6784685000000001,1.598648,18,408.0406388888889,73.2786
Resorts & Casinos,15,7226612172.8,4280527872.0,15,2425282378.6666665,1656000000.0,15,2.475666666666667,0.861,15,0.07317999933333333,0.14686,15,2.322409733333333,2.4481439999999997,15,77.73386666666669,51.59
Restaurants,30,4329284009.6,963576992.0,30,3881428134.4,1056695488.0,30,0.43703333333333344,0.257,30,0.08350766763333335,0.076324998,29,1.6114605517241378,1.615584,30,140.28190666666669,39.595
Scientific & Technical Instruments,19,1190655261.8947368,536008992.0,19,1917491228.631579,1412545024.0,19,0.1958421052631579,0.214,19,-0.8193141578947367,0.11829001,17,1.3728759411764708,1.336623,19,118.18085789473683,74.41
Security & Protection Services,9,2078747578.6666667,1004049024.0,9,2210016853.3333335,1342356992.0,9,0.13722222222222225,0.10800000000000001,9,0.03772889,0.07399,8,1.623429875,1.6116005000000002,9,42.82888888888888,26.09
Semiconductor Equipment & Materials,19,1015962576.4210526,246172000.0,19,3275550853.894737,1054694976.0,18,0.6567777777777779,0.3005,19,-1.7889173679473682,0.14104,19,1.442239789473684,1.367391,19,143.59321578947367,100.32
Semiconductors,40,4081265007.825,513316992.0,40,7307156584.1,1350609472.0,40,0.3610249999999999,0.34299999999999997,40,0.14664974988750004,0.14447500000000002,36,1.3008371111111114,1.139061,40,128.9148475,87.71000000000001
Software—Application,102,962411145.6666666,332601008.0,102,1427891786.235294,543968496.0,102,0.6012941176470586,0.269,102,-0.04461402039215688,-0.0019100000000000002,79,1.3605395063291137,1.284697,102,114.42727450980394,61.4041
Software—Infrastructure,68,3529191599.7647057,618080512.0,68,4893751226.470589,683955008.0,68,0.27225000000000005,0.2055,68,-0.053876321544117645,-0.0021050005000000007,57,1.168077228070176,0.980096,68,106.06951617647056,57.225500000000004
Solar,7,1799899590.857143,603553024.0,7,1158245419.4285715,1231940992.0,7,0.6067142857142859,0.51,7,-0.008177141714285713,0.046269998,5,1.7438553999999997,1.781659,7,57.18785714285714,26.45
Specialty Business Services,16,1609146723.0,740400000.0,16,2880400944.0,2138791488.0,16,0.261875,0.101,16,0.10301125093749999,0.08089999750000001,14,1.6667245000000002,1.3994245,16,81.34630625,41.035
