,totalDebt,totalDebt,totalDebt,totalDebt,totalDebt,totalRevenue,totalRevenue,totalRevenue,totalRevenue,totalRevenue,totalCash,totalCash,totalCash,totalCash,totalCash,debtToEquity,debtToEquity,debtToEquity,debtToEquity,debtToEquity,revenueGrowth,revenueGrowth,revenueGrowth,revenueGrowth,revenueGrowth,operatingMargins,operatingMargins,operatingMargins,operatingMargins,operatingMargins,beta,beta,beta,beta,beta,regularMarketPrice,regularMarketPrice,regularMarketPrice,regularMarketPrice,regularMarketPrice,sharesOutstanding,sharesOutstanding,sharesOutstanding,sharesOutstanding,sharesOutstanding,marketCap,marketCap,marketCap,marketCap,marketCap,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,marketDebtToEquity,betaTax,betaTax,betaTax,betaTax,betaTax,unleveredBeta,unleveredBeta,unleveredBeta,unleveredBeta,unleveredBeta,bookEquity,bookEquity,bookEquity,bookEquity,bookEquity,investedCapital,investedCapital,investedCapital,investedCapital,investedCapital,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,salesToCapitalIndividual,totalRevenueMask,investedCapitalMask,salesToCapitalAggregate
,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,count,mean,percentile_25,median,percentile_75,sum,sum,aggregate
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Manufacturers,10,27027344317.6,64118250.0,451478992.0,8416250112.0,9,34787539990.22222,65000.0,1798904.0,46848000000.0,10,7458626165.6,279099256.0,993698496.0,13360249600.0,8,112.43775,27.634249999999998,74.7285,141.50925,4,-0.010500000000000023,-0.263,-0.1465,0.10599999999999998,10,-66886.6311807,-1599.67058175,0.0,0.0207,9,1.117782111111111,0.681142,1.08935,1.204675,10,144.452,8.6425,16.255000000000003,51.32,10,845512892.4,171332252.0,322834000,974044976,10,148442462403.2,1020457040.0,4562346624.0,88357242880.0,10,0.3809086710062328,0.007837238949116046,0.0860534885690793,0.3967901770592231,10,0.24000000000000005,0.24,0.24,0.24,9,0.8951989587866189,0.4789783290238322,0.6780018336417708,0.9010221219804446,8,16502635444.984604,646258113.7506844,2596026275.0174103,30546262078.955086,8,40966228759.9846,132402984.33938679,1252812419.0174105,54707512526.955086,8,0.48174844695862823,0.0002672247654934399,0.010119910299108146,0.8720915180658239,312403864904.0,327729830079.8768,0.9532359774142579
Auto Parts,26,1520597035.5384614,66677250.0,371794992.0,2637999936.0,24,4958464143.666667,740935520.0,1906946112.0,6214550016.0,26,382265157.0769231,51805250.0,245640496.0,466740264.0,26,166.38080769230768,11.590250000000001,64.1855,136.24925,24,0.408541666666667,-0.05,0.07200000000000001,0.2155,26,-0.6530042307692305,0.028337499500000002,0.05585,0.11403249725,24,1.554823,0.9932465000000001,1.4779214999999999,2.0455837499999996,26,43.6396153846154,18.0,29.335,56.942499999999995,26,107552712.0,27708600.0,64846300,166043244,26,3669029596.3076925,925230256.0,1865101248.0,3756980736.0,26,0.7132953691511642,0.01539867538862109,0.2669938286883248,0.698411086018555,26,0.24000000000000016,0.24,0.24,0.24,24,1.0425967828409861,0.7407674798257244,1.0099505500667,1.3180459938540983,26,1412391073.7781959,341500171.0609609,590516817.1710547,1468676824.5913525,26,2550722952.239735,419768663.3042898,949419810.9522369,3154950371.6482267,24,1.836108875250485,1.1333370393195068,1.694980338918373,2.4467234602981316,119003139448.0,65979760307.09123,1.8036309755312954
Banks,214,11210696460.037384,148416748.0,422410000.0,1168765024.0,214,2843208490.1308413,201431744.0,370976496.0,872856000.0,214,20252614672.859814,348266496.0,823388512.0,2251049664.0,0,,,,,214,0.18269158878504674,0.06225,0.14100000000000001,0.24625,214,0.4567072432710279,0.406659985,0.455725,0.49941250000000004,211,1.0795028436018965,0.8498695,1.094545,1.2898695,214,55.734766355140195,26.215000000000003,37.625,57.02,214,177976227.76635513,20411750.0,44570050,91770926,214,10016705657.719625,765657856.0,1706558912.0,3875315584.0,214,0.37498149238217793,0.15306181690938225,0.24896713595520675,0.4375769841976522,214,0.24000000000000032,0.24,0.24,0.24,211,0.8674207711469379,0.6472088622808679,0.8650953491149314,1.0584390572605815,0,,,,,0,,,,,0,,,,,0.0,0.0,
Beverages,12,9729335767.5,56866000.0,631703504.0,11449625344.0,12,13401187110.666666,966624992.0,5375801344.0,10569349632.0,12,2184136848.6666665,80222300.0,194939000.0,1196409280.0,12,72.43175000000001,7.859750000000001,48.426,105.92500000000001,12,0.27216666666666667,0.06924999999999999,0.124,0.14525000000000002,12,0.19818416583333334,0.1364175,0.18957000000000002,0.2720575,11,1.021424909090909,0.6916875,1.017142,1.125454,12,169.33166666666665,47.167500000000004,79.64500000000001,192.94,12,694709289.8333334,61602403.0,139655500,742516752,12,56900317498.666664,5301069568.0,8346455552.0,51325636608.0,12,0.16466318447913186,0.009591417374517857,0.14999932073356587,0.18676755934603995,12,0.24000000000000007,0.24,0.24,0.24,11,0.9258964601705588,0.6471887583755065,0.8475175308649429,1.0484620951398695,12,8300347426.263344,663834116.2338916,3632278139.690999,14139464770.196754,12,15845546345.09668,967677988.530371,2410652716.8266797,26066035861.06705,12,1.569657522271271,0.4654398423510671,1.131595424162235,1.8812053035912506,160814245328.0,190146556141.16016,0.8457384061619051
Biotechnology,256,137652962.7890625,3072250.0,22605500.0,72204750.0,182,350846144.13736266,8277250.0,40394500.0,155883500.0,256,475247599.015625,164109252.0,269676000.0,470939256.0,217,42.08046082949309,2.187,7.922999999999999,26.373,154,4.169272727272725,-0.21900000000000003,0.16849999999999998,0.86125,256,386.3186942510508,-6.009754925000001,-0.637175,0.0,179,1.2190878938547491,0.7693129999999999,1.258722,1.723376,256,32.234196484375,7.6775,16.564999999999998,32.42,256,88226860.734375,40446525.0,60479700,112293750,256,2864480287.53125,471154504.0,923424064.0,1939674432.0,256,0.07209005174662707,0.0035657047368325835,0.018525880848284666,0.07345833883807651,256,0.2400000000000006,0.24,0.24,0.24,170,1.2056973055084828,0.7436659778456771,1.1842212813534325,1.6057231215658232,217,619001764.2365305,132709359.60591134,267010309.2783505,483154309.66727805,217,249540939.30565518,-4437323.741007194,24813186.06041333,70929398.14941892,154,0.28838073789102253,-0.2543564618915715,0.29860038064286365,1.3219500697705246,62026327257.0,52433535928.367645,1.1829514481292582
Broadcasting,17,4840053002.823529,2003452032.0,3505999872.0,7848962048.0,17,4111886214.117647,1194167040.0,3054173952.0,6169999872.0,17,833821577.6470588,80843000.0,322000000.0,870966976.0,14,189.74821428571428,59.48774999999999,127.27500000000002,236.8535,17,0.40270588235294125,0.085,0.126,0.247,17,0.03767411623529412,0.06663999999999999,0.10711,0.23594,16,1.4926235625,1.1440077499999999,1.4080515,1.70534825,17,31.103529411764704,14.74,21.57,37.2,17,356340517.1764706,52620300.0,96555200,203864992,17,6961942251.294118,1571781888.0,2592226816.0,13526427648.0,17,1.4291360638863269,0.2591962906420745,0.7305313256310764,1.9602691864937216,17,0.2400000000000001,0.24,0.24,0.24,16,0.8803176962076965,0.6383687093774253,0.7797631298919474,0.9074645941637487,14,3785922789.0437074,669900744.1836084,2157480949.980458,5968324894.014154,14,7173192641.329421,2762127571.6359262,5971491553.288279,9844159326.226395,14,0.7249905516288447,0.44275310560929976,0.5148830913659082,0.9084912128380439,55072719512.0,100424696978.6119,0.5483981646838247
Building Materials,6,2279802624.0,621297744.0,1256886464.0,3909792064.0,6,4952013162.666667,3025925504.0,4955907840.0,6992373376.0,6,629937682.6666666,144852256.0,215221504.0,654685264.0,6,63.73116666666667,47.566,68.6815,83.44074999999998,6,0.17983333333333332,0.14375000000000002,0.16849999999999998,0.182,6,0.15544333166666666,0.10726750000000002,0.144784995,0.2038949975,6,1.1985276666666667,0.8336355,1.2628564999999998,1.4485712499999999,6,168.92,75.8925,127.835,197.185,6,75924400.0,45977375.0,62134850,104520725,6,12471165824.0,4955675904.0,6160855808.0,22217913472.0,6,0.18645155123334692,0.13733414223810492,0.18197511098846597,0.20056325621545362,6,0.24,0.24,0.24,0.24,6,1.0557495591288506,0.6985060541128119,1.075624410095921,1.3598111938083859,6,3178249110.96863,1423419937.5834975,1824633007.795825,5238027479.988541,6,4828114052.301963,2116063873.657433,2650033487.795825,7933655491.914606,6,2.248825454314568,0.5693186147142459,0.7938436432387735,3.0345723190327836,29712078976.0,28968684313.81178,1.0256620098495044
Building Products & Equipment,31,1275794768.516129,134751500.0,632324992.0,1596356480.0,30,3673509935.733333,1089287264.0,1615935040.0,4582295936.0,31,320448389.67741936,83136000.0,146244000.0,344664992.0,30,178.32443333333333,29.0245,92.2985,141.13950000000003,30,0.22076666666666664,0.09425,0.16949999999999998,0.268,31,-0.10475483974193545,0.07422000000000001,0.11054000000000001,0.13223000000000001,26,1.5499203461538467,1.1816879999999998,1.5498695,1.83707775,31,69.35741935483871,25.795,57.01,90.565,31,108806102.96774194,43247850.0,66973000,120218500,31,6352041308.903226,1636043264.0,3019021568.0,6962311424.0,31,0.26075694555818785,0.06540320452168097,0.14196817475566573,0.3641996186493565,31,0.24000000000000016,0.24,0.24,0.24,26,1.2748203478968265,1.0521970801660487,1.2164423279670125,1.4833686385339209,30,1260694144.9108872,399490473.62534845,730671890.0640309,1120296965.981458,30,2251279169.710887,735266868.4965005,1119652798.5759628,2279480439.7052994,29,1.731638842451846,1.2227691672855654,1.4548838415435543,1.9954649149248935,109690363064.0,67137545267.93455,1.6338155144970579
Business Equipment & Supplies,5,1086128416.0,272438016.0,722400000.0,1212300032.0,5,3072341587.2,1915100032.0,2143636992.0,2696699904.0,5,156540800.0,80969000.0,127735000.0,240700000.0,5,92.5428,43.263999999999996,84.333,154.433,5,0.17,0.157,0.18600000000000005,0.195,5,0.07591600000000001,0.053360000000000005,0.08417000000000001,0.10537,5,1.1802594,0.9496100000000001,1.004675,1.335584,5,58.688,11.89,19.74,42.71,5,67045818.4,43559400.0,82795600,87021696,5,4391326067.2,793609152.0,1332821504.0,1860421888.0,5,0.48225126282044356,0.14643883613564534,0.18436314502420584,0.5420080617186681,5,0.24,0.24,0.24,0.24,5,0.8280395126615074,0.8545087205015186,0.8812042008178029,0.9459305090745304,5,875281555.7951324,629710650.8875737,785000635.8744569,856604176.3010921,5,1804869171.7951324,774413666.8875737,1303804176.301092,1939200667.8744571,5,1.847406840083729,1.6929279283762333,1.7201249685825482,2.0683320033922343,15361707936.0,9024345858.975662,1.7022516840620823
Capital Markets,22,45454938414.90909,211267504.0,1130681984.0,3989073024.0,22,10404641153.818182,1465536480.0,2270735488.0,7622632704.0,22,77198757880.36363,462964008.0,959193504.0,10999845760.0,21,162.3936666666667,37.796,83.421,215.2,22,3.0710000000000006,0.05725000000000001,0.269,0.44625000000000004,22,0.21043182004545455,0.16931,0.242490005,0.3880975,22,1.2433805454545455,0.8526685,1.1971425,1.4938952500000002,22,107.62090909090908,49.9475,76.24000000000001,104.09750000000001,22,245450701.27272728,28751275.0,70579250,111154000,22,28219333122.909092,1708491104.0,4823985920.0,19676881408.0,22,1.0299655659353155,0.08528436929759789,0.2116016835750539,1.131361930528751,22,0.24000000000000013,0.24,0.24,0.24,19,0.8666607837252878,0.5517769212060462,0.8638672995647717,1.1939471681378966,21,14990679895.672497,774955086.6062332,1437712492.372069,5249019607.843139,21,-18253244336.708458,-2303453539.289387,535402434.63876015,1720115112.6614096,21,0.7047332617389602,-0.2290627851672148,1.53722858653117,2.0206904109404347,228809279616.0,-383318131070.8776,-0.596917445508707
