AAPL
MSFT
AMZN
GOOGL
TSLA
GOOG
FB
NVDA
BRKB
UNH
JPM
JNJ
HD
PG
V
PFE
BAC
MA
DIS
ADBE
AVGO
CSCO
NFLX
ACN
XOM
TMO
COST
ABT
CRM
ABBV
PEP
LLY
CMCSA
CVX
KO
PYPL
VZ
QCOM
INTC
DHR
NKE
WMT
MCD
WFC
MRK
AMD
NEE
TXN
T
LOW
INTU
UNP
UPS
ORCL
AMAT
PM
HON
MDT
BMY
CVS
SBUX
MS
BLK
NOW
ISRG
AMT
SCHW
AMGN
RTX
GS
PLD
C
IBM
ZTS
SPGI
ANTM
CAT
TGT
BA
MU
ADP
GE
AXP
MMM
LRCX
BKNG
DE
COP
SYK
ADI
BX
GILD
MDLZ
TJX
CCI
MMC
LMT
MO
PNC
EL
MRNA
SHW
CB
CSX
CME
F
CHTR
EW
DUK
GM
TFC
ITW
ICE
USB
EQIX
MRVL
CI
BDX
NSC
SO
TMUS
SNOW
CL
UBER
WM
ETN
APD
SQ
KLAC
FIS
AON
MCO
REGN
FDX
ADSK
FISV
D
HCA
NXPI
COF
BSX
FCX
PGR
HUM
ECL
NOC
JCI
SNPS
VRTX
ILMN
IDXX
PSA
TEAM
EMR
DXCM
XLNX
PANW
IQV
EXC
WDAY
EOG
CDNS
DG
ALGN
SPG
GD
ROP
APH
ATVI
INFO
MSCI
CMG
FTNT
DLR
CNC
MCHP
A
NEM
TT
KMB
AIG
DDOG
CARR
CTSH
ORLY
LULU
MAR
TROW
MSI
MET
BK
HPQ
APTV
BAX
PAYX
TWLO
AEP
KKR
AZO
TTD
HLT
SLB
SBAC
DOW
DD
SRE
CRWD
PRU
LHX
EBAY
YUM
ZM
PH
ROK
GIS
O
PXD
PPG
SYY
MPC
ROST
SIVB
CTAS
KEYS
STZ
GPN
AFL
TRV
MTD
MTCH
EPAM
RMD
MCK
EA
IFF
FRC
OTIS
ADM
WELL
WBA
FAST
ODFL
VRSK
XEL
VEEV
NET
CBRE
ANSS
ANET
MDB
MNST
EFX
AVB
AJG
DHI
CTVA
BIIB
TWTR
AMP
STT
WST
DFS
ARE
NUE
AME
AWK
ALL
EQR
PEG
KR
TDG
ZBRA
SPOT
PSX
WMB
CSGP
PLTR
CMI
CPRT
DLTR
LEN
KMI
HUBS
ES
DOCU
WEC
DVN
FITB
VLO
LH
WLTW
ED
WY
SWK
ON
PCAR
BLL
ETSY
OKTA
EXR
RSG
GLW
CDW
